"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"B12V1";"Pin_Header_Straight_1x02";1;"CONN_01X02";;;
2;"C1";"C_Disc_D3_P2.5";1;"47uF";;;
3;"C2,C3,C4,C7,C9";"C_Disc_D3_P2.5";5;"0.1uF";;;
4;"C5,C6,C8";"C_Disc_D3_P2.5";3;"0.01uF";;;
5;"D1,D5";"D3";2;"D";;;
6;"D2";"D3";1;"D_Schottky";;;
7;"D3,D4";"LED-5MM";2;"LED";;;
8;"F1";"BladeFuse-Mini";1;"FUSE";;;
9;"K1,K2";"Diode_DO-35_SOD27_Horizontal_RM10";2;"SPST";;;
10;"Panel2";"C2V10";1;"Battery";;;
11;"Q1";"TO-92_Inline_Narrow_Oval";1;"Q_NPN_BCE";;;
12;"Q2";"TO-92_Inline_Narrow_Oval";1;"Q_PNP_BCE";;;
13;"Q3";"TO-92_Inline_Narrow_Oval";1;"Q_PMOS_DGS";;;
14;"R1,R13";"R1";2;"100";;;
15;"R2";"R1";1;"R";;;
16;"R3";"R1";1;"10K";;;
17;"R5,R8";"R1";2;"100K";;;
18;"R6";"R1";1;"750";;;
19;"R7";"R1";1;"4.7M";;;
20;"R9";"R1";1;"200K";;;
21;"R10";"R1";1;"180K";;;
22;"R11";"R1";1;"75K";;;
23;"R12";"R1";1;"300K";;;
24;"TZ1";"SMB_Handsoldering";1;"27V";;;
25;"U1";"78xx_with_heatsink-78XXH";1;"7805";;;
26;"U2";"SSOP-14";1;"324URJA";;;
27;"VR1";"TO-220_Neutral123_Vertical";1;"100K";;;
